"","date","spx","vix","spx_lag","vix_lag"
"1408",2018-01-31,-0.00529239889305633,13.54,0.0279043239067498,11.08
"1409",2018-02-02,-0.00829329087243713,17.31,-0.00529239889305633,13.54
"1410",2018-02-09,-0.0737436452444356,29.06,-0.00829329087243713,17.31
"1411",2018-02-16,0.0481823982043061,19.46,-0.0737436452444356,29.06
"1412",2018-02-28,0.00976847539913628,19.85,0.0481823982043061,19.46
"1413",2018-03-02,-0.0344580903340137,19.59,0.00976847539913628,19.85
"1414",2018-03-09,0.0353606204092685,14.64,-0.0344580903340137,19.59
"1415",2018-03-16,-0.000850009626177317,15.8,0.0353606204092685,14.64
"1416",2018-03-23,-0.0377594462238736,24.87,-0.000850009626177317,15.8
"1417",2018-04-06,-0.000336266534678886,21.49,-0.0377594462238736,24.87
"1418",2018-04-13,0.0117468308501711,17.41,-0.000336266534678886,21.49
"1419",2018-04-20,0.00585005043146913,16.88,0.0117468308501711,17.41
"1420",2018-04-27,-0.00634711946994682,15.41,0.00585005043146913,16.88
"1421",2018-04-30,0.00263131337671529,15.93,-0.00634711946994682,15.41
"1422",2018-05-04,-0.0227622637007878,14.77,0.00263131337671529,15.93
"1423",2018-05-11,0.0386236624768734,12.65,-0.0227622637007878,14.77
"1424",2018-05-18,-0.00196496125169865,13.42,0.0386236624768734,12.65
"1425",2018-05-25,0.00230003496053133,13.22,-0.00196496125169865,13.42
"1426",2018-06-01,-0.00179908944044649,13.46,0.00230003496053133,13.22
"1427",2018-06-08,0.0173391694559901,12.18,-0.00179908944044649,13.46
"1428",2018-06-15,0.00431695253521536,11.98,0.0173391694559901,12.18
"1429",2018-06-22,-0.006116395106884,13.77,0.00431695253521536,11.98
"1430",2018-06-29,-0.0121921623883019,16.09,-0.006116395106884,13.77
"1431",2018-07-13,0.0255946727878757,12.18,-0.0121921623883019,16.09
"1432",2018-07-20,0.00272441569864124,12.86,0.0255946727878757,12.18
"1433",2018-07-27,0.0134780980906026,13.03,0.00272441569864124,12.86
"1434",2018-07-31,-0.0114764191602019,12.83,0.0134780980906026,13.03
"1435",2018-08-03,0.00707897200086838,11.64,-0.0114764191602019,12.83
"1436",2018-08-10,0.00327959231274888,13.16,0.00707897200086838,11.64
"1437",2018-08-17,-0.000204304484131113,12.64,0.00327959231274888,13.16
"1438",2018-08-24,0.00846627582513593,11.99,-0.000204304484131113,12.64
"1439",2018-08-31,0.0125840655405522,12.86,0.00846627582513593,11.99
"1440",2018-09-14,0.00276362231185123,12.07,0.0125840655405522,12.86
"1441",2018-09-21,0.0104528657642842,11.68,0.00276362231185123,12.07
"1442",2018-09-28,-0.00910186736403384,12.12,0.0104528657642842,11.68
"1443",2018-10-05,-0.00257385662690768,14.82,-0.00910186736403384,12.12
"1444",2018-10-12,-0.0454774094413858,21.31,-0.00257385662690768,14.82
"1445",2018-10-19,0.00184801518837485,19.89,-0.0454774094413858,21.31
"1446",2018-10-26,-0.0388376097937067,24.16,0.00184801518837485,19.89
"1447",2018-10-31,0.0141461695891087,21.23,-0.0388376097937067,24.16
"1448",2018-11-02,0.0147287108219989,19.51,0.0141461695891087,21.23
"1449",2018-11-09,0.0177202280136226,17.36,0.0147287108219989,19.51
"1450",2018-11-16,-0.0270426971117712,18.14,0.0177202280136226,17.36
"1451",2018-11-30,0.00706997138169752,18.07,-0.0270426971117712,18.14
"1452",2018-12-14,-0.0394775290748642,21.63,0.00706997138169752,18.07
"1453",2018-12-21,-0.0624790849076693,30.11,-0.0394775290748642,21.63
"1454",2018-12-31,0.0136125059828505,25.42,-0.0624790849076693,30.11
"1455",2019-01-14,0.0325618062058313,19.07,0.0136125059828505,25.42
"1456",2019-01-28,0.0250590045382144,18.87,0.0325618062058313,19.07
"1457",2019-01-31,0.015319644457215,16.57,0.0250590045382144,18.87
"1458",2019-02-04,0.00781980197282439,15.73,0.015319644457215,16.57
"1459",2019-02-11,0.00218364006517668,15.97,0.00781980197282439,15.73
"1460",2019-02-25,0.033899867276213,14.85,0.00218364006517668,15.97
"1461",2019-02-28,-0.00579100326278814,14.7,0.033899867276213,14.85
"1462",2019-03-04,0.00941856669930519,14.63,-0.00579100326278814,14.7
"1463",2019-03-11,-0.0237211169817756,14.33,0.00941856669930519,14.63
"1464",2019-03-18,0.0272964503695938,13.1,-0.0237211169817756,14.33
"1465",2019-03-25,-0.00942390199141929,16.33,0.0272964503695938,13.1
"1466",2019-03-29,0.0115378700362301,13.71,-0.00942390199141929,16.33
"1467",2019-04-01,0.00719874693717371,13.4,0.0115378700362301,13.71
"1468",2019-04-08,0.013982159845259,13.18,0.00719874693717371,13.4
"1469",2019-04-15,0.00687563615213649,12.32,0.013982159845259,13.18
"1470",2019-04-29,0.0110923144633328,13.11,0.00687563615213649,12.32
"1471",2019-04-30,-0.00116983724299291,13.12,0.0110923144633328,13.11
"1472",2019-05-06,-0.0096182000177043,15.44,-0.00116983724299291,13.12
"1473",2019-05-13,-0.023617256066747,20.55,-0.0096182000177043,15.44
"1474",2019-05-20,0.000616155961396858,16.31,-0.023617256066747,20.55
"1475",2019-05-31,-0.0266684025700754,18.71,0.000616155961396858,16.31
"1476",2019-06-03,-0.0052853243678036,18.86,-0.0266684025700754,18.71
"1477",2019-06-10,0.0488092079679305,15.94,-0.0052853243678036,18.86
"1478",2019-06-17,0.00135836137263801,15.35,0.0488092079679305,15.94
"1479",2019-06-24,0.0213409464486547,15.26,0.00135836137263801,15.35
"1480",2019-06-28,-0.00626139282108273,15.08,0.0213409464486547,15.26
"1481",2019-07-01,0.0131165315349102,14.06,-0.00626139282108273,15.08
"1482",2019-07-15,0.0156121168064993,12.68,0.0131165315349102,14.06
"1483",2019-07-22,-0.0118861422228115,13.53,0.0156121168064993,12.68
"1484",2019-07-29,0.0142659284423174,12.83,-0.0118861422228115,13.53
"1485",2019-07-31,-0.00272775064722086,16.12,0.0142659284423174,12.83
"1486",2019-08-05,-0.0391715458421467,24.59,-0.00272775064722086,16.12
"1487",2019-08-12,0.00310551504967105,21.09,-0.0391715458421467,24.59
"1488",2019-08-19,0.00220496926458602,16.88,0.00310551504967105,21.09
"1489",2019-08-26,-0.0160563999066409,19.32,0.00220496926458602,16.88
"1490",2019-08-30,0.0245543656469112,18.98,-0.0160563999066409,19.32
"1491",2019-09-09,0.0174798865543786,15.27,0.0245543656469112,18.98
"1492",2019-09-16,0.00267029845102607,14.67,0.0174798865543786,15.27
"1493",2019-09-23,-0.0043084891586932,14.91,0.00267029845102607,14.67
"1494",2019-09-30,-0.00550695491871955,16.24,-0.0043084891586932,14.91
"1495",2019-10-07,-0.0076978298456053,17.86,-0.00550695491871955,16.24
"1496",2019-10-14,0.00732959041922676,14.57,-0.0076978298456053,17.86
"1497",2019-10-21,0.010341188410586,14,0.00732959041922676,14.57
"1498",2019-10-28,0.0118939555745408,13.11,0.010341188410586,14
"1499",2019-10-31,0.00487447726343282,13.22,0.0118939555745408,13.11
"1500",2019-11-04,0.010522170074502,12.83,0.00487447726343282,13.22
"1501",2019-11-11,0.000444955439498962,12.69,0.010522170074502,12.83
"1502",2019-11-18,0.0121999915593458,12.46,0.000444955439498962,12.69
"1503",2019-11-25,-0.000150742003457327,11.87,0.0121999915593458,12.46
"1504",2019-12-02,0.00847169472387588,14.91,-0.000150742003457327,11.87
"1505",2019-12-09,-0.000632981853459835,15.86,0.00847169472387588,14.91
"1506",2019-12-16,0.013294672582483,12.14,-0.000632981853459835,15.86
"1507",2019-12-23,0.0133244126987118,12.61,0.013294672582483,12.14
"1508",2019-12-31,-0.00336944560685681,13.78,0.0133244126987118,12.61
"1509",2020-01-14,0.0218245945794637,12.39,-0.00336944560685681,13.78
"1510",2020-01-28,-0.00913144718218761,16.28,0.0218245945794637,12.39
"1511",2020-01-31,0.0082878953107961,18.84,-0.00913144718218761,16.28
"1512",2020-02-04,-0.000524017999408932,16.05,0.0082878953107961,18.84
"1513",2020-02-11,0.0259890691060503,15.18,-0.000524017999408932,16.05
"1514",2020-02-25,-0.0377109038673508,27.85,0.0259890691060503,15.18
"1515",2020-02-28,-0.0994275905080056,40.11,-0.0377109038673508,27.85
"1516",2020-03-03,0.0615585038911173,36.82,-0.0994275905080056,40.11
"1517",2020-03-10,-0.0913882304308792,47.3,0.0615585038911173,36.82
"1518",2020-03-17,-0.137843524745155,75.91,-0.0913882304308792,47.3
"1519",2020-03-24,-0.0334836704237197,61.67,-0.137843524745155,75.91
"1520",2020-03-31,0.115272730374844,53.54,-0.0334836704237197,61.67
"1521",2020-04-07,0.0474090618773162,46.7,0.115272730374844,53.54
"1522",2020-04-21,0.01685501980903,45.41,0.0474090618773162,46.7
